Номер,Збірка,УДК,Автор,Назва,Рік,Видавництво
978-966-8152-56-6,978-966-8152-43-6,821-92,Єжи Ґейдроць,З нотаток редактора,2013,День
978-966-8152-47-4,978-966-8152-43-6,821-92,Симон Петлюра,День мовчання,2013,День
978-966-8152-51-1,978-966-8152-43-6,821-92,Степан Бандера,Питання атомної війни і визвольна революція,2013,День
978-966-8152-50-4,978-966-8152-43-6,821-92,Дмитро Донцов,Модерне москвофільство. Мазепа і мазепинство,2013,День
978-966-8152-54-2,978-966-8152-43-6,821-92,Михайло Грушевський,Про українську мову й українську справу. На порозі нової України. Наша західна орієнтація,2013,День
978-966-8152-44-3,978-966-8152-43-6,821-92,Віктор Петров,Українська інтелігенція — жертва большевицького терору,2013,День
978-966-8152-45-0,978-966-8152-43-6,821-92,Борис Грінченко,Листи з України Наддніпрянської,2013,День
978-966-8152-46-7,978-966-8152-43-6,821-92,Тарас Шевченко,Щоденник. Листи,2013,День
978-966-8152-58-0,978-966-8152-43-6,821-92,Джеймс Мейс,Свічка у вікні. Земля на крові. Урок геноциду. Геноцид в Україні — «доведено!..». Україна як постгеноцидна держава. Зачаровані кола ідола. Польска стратегія самозахисту суспільства та українська розбудова держави. Повість про двох журналістів,2013,День
978-966-8152-57-3,978-966-8152-43-6,821-92,"Юрій Шевельов,Валерій Марченко",Принципи й етапи большевицької політики щодо слов'янських мов у СССР. Київський Діалог,2013,День
978-966-8152-55-9,978-966-8152-43-6,821-92,Михаил Хайфец,Украинские силуэты,2013,День
978-966-8152-49-8,978-966-8152-43-6,821-92,Андрей Шептицький,Як будувати рідну хату?,2013,День
978-966-8152-53-5,978-966-8152-43-6,821-92,Ліна Костенко,Гуманітарна аура нації. Геній в умовах заблокованої культури. Ніч жержавності,2013,День
978-966-8152-52-8,978-966-8152-43-6,821-92,Андрій Сахаров,"Памятная записка. Послесловие к памятной записке. Мир через полвека. Мир, прогресс, права человека. Неибежность перестройки",2013,День
966-955-71-0-0,,,Степан Бандера,Перспективи Української Революції,1999,Інститут Національного Державознавства
966-02-0498-1,,,"В.Верстюк,Т.Осташко",Діячі Української Центральної Ради,1998,НАН України
5-7707-0698-8-8,,,Д.Чайковський,Вбивство Степана Бандери,1993,"Червона Калина, Львів"
5-7707-0698-8-9,,,,Життя і смерть полковника Коновальця,1993,"Червона Калина, Львів"
5-86272-007-1,,,Петро Дужий,Степан Бандера — символ нації,1996,Галицьва видавнича спілка
5-87174-020-0,,,Петро Мірчук,Степан Бандера. Символ революційної бескомпромісності,1992,"Поділля, Хмельницький"
966-7893-97-9,,94(477.8),Ярослав Сватко,Місія Бандери,2008,Галицьва видавнича спілка
978-966-1633-00-0,,94(477.8),Ярослав Сватко,Степан Бандера,2008,Галицьва видавнича спілка
978-966-308-400-8,,,Микола Посівнич,Життя і діяльність Степана Бандери: документи і матеріали,2011,"Астон, Тернопіль"
5-12-009242-X,,,П.М.Федченко,Історія української літературної критики,1988,"Наукова Думка, Київ"
,,,Данило Чайковський,Московські вбивці бандери перед судом,1992,"Бескид, Дрогобич"
,,,Борис Кушнір,Світилося в хаті віконце,2001,Кам'янець-Подільський
,,,Василь Кук,Степан Бандера (1909-1999 рр.),1999,"Лілея-НВ, Івано-Франківськ"
,,,Ігор Цар,За що ми любимо Бандеру,1999,Львів
978-617-569-359-9,978-617-569-358-2,"016:328(477:438)""1386/1648""",Віталій Михайловський,Студії з історії українського парламентаризму на українських землях в XIV-XX ст. Том 1. «Прикладом своїх предків...». Історія парламентаризму на українських землях в 1386-1648 рр.: Польське королівство та Річ Посполита,2018,"Темпора, Київ"
978-617-569-360-5,978-617-569-358-2,"328(477:438)""1386/1648""",Віталій Михайловський,"Студії з історії українського парламентаризму на українських землях в XIV-XX ст. Том 2. Бібліографія парламентаризму на українських землях до 1648 року: Польське королівство, Велике князівство Литовське, Річ Посполита",2018,"Темпора, Київ"
